category,descrip,name,topics,type,views,views_norm
Public Safety,"CT Department of Correction Facility Population Count by Date, By Status, Filter by Facility",Correctional Facility Daily Population Count By Facility,"['usodcensus', 'count', 'population', 'facility', 'correction']",Dataset,73559.0,1.0
Public Safety,"CT Department of Correction Facility Population Count by Date, By Status, Filter by Facility and/or Date",Correctional Facility Daily Population Count With Facility/Date Filter,['correction facility population count'],Filtered View,59816.0,0.8131703802389918
Public Safety,Current Year Fire Incidents updated on a nightly basis,Building Fires,"['hartford', 'fire incidents', 'hartford fire department', 'public safety', 'fire']",Filtered View,49221.0,0.6691363395369703
,,Pensioners Breakdown,[],Chart,49122.0,0.6677904811104012
Government,,Employee Compensation Breakdown,[],Chart,48710.0,0.6621895349311437
Business,Department of Economic and Community Development listing of active direct financial assistance to businesses from Fiscal Year 1993 through 9/30/16. This list also includes out of business projects and inactive (repaid/contract no longer active) projects from the last five years.,Business Assistance - Heat Map,"['loan', 'grant', 'business assistance', 'department of economic and community development', 'decd']",Map,48355.0,0.6573634769368806
Public Safety,"This dataset reflects reported incidents of crime (with the exception of sexual assaults, which are excluded by statute) that occurred in the City of Hartford from 2005 to the present, minus the most recent ten days. Data is extracted from the City of Hartford Police Department's CrimeView database on a daily basis. Should you have questions about this dataset, you may contact the Crime Analysis Division of the Hartford Police Department at 860.757.4020 or policechief@Hartford.gov. Disclaimer: These incidents are based on crimes verified by the Hartford Police Department's Crime Analysis Division. The crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Hartford Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Hartford Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate. The Hartford Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Hartford or Hartford Police Department web page. The user specifically acknowledges that the Hartford Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. The unauthorized use of the words ""Hartford Police Department"", ""Hartford Police"", ""HPD"" or any colorable imitation of these words or the unauthorized use of the Hartford Police Department logo is unlawful. This web page does not, in any way, authorize such use. The dataset contains more than 400,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Hartford Police Department - Uniform Crime Reporting (UCR) codes, select the about tab on the right side of this page and scroll down to the attachments and open the PDF document.",Police Incidents 01012005 to Current,"['ct', 'hartford', 'police incidents', 'incidents', 'hartford police']",Dataset,16489.0,0.22416019793635042
Health and Human Services,"Location, telephone and parking information for all DCF offices and facilities as of 7/1/2014.  This file does not include any of our licensed foster homes or congregate care facilities, or other contracted services provider locations.",Statewide Map of DCF Offices & Facilities,"['facilities', 'offices', 'department of children and families', 'dcf']",Map,16450.0,0.22363001128345952
Public Safety,Current Year Fire Incidents. Updated on a nightly basis. For more information on the inci_typ codes select the about tab and scroll down to the attachments and open the PDF document,FH_SOCRATA,"['hartford', 'fire incidents', 'hartford fire department', 'public safety', 'fire']",Dataset,14833.0,0.2016476569828301
Government,"Payments to businesses and other entities are at the core of State spending transparency. This data allows citizens to view who received payments from the State for goods or services and how much they received. Data from the CORE-CT Financial Accounting System are summarized by Agency, Payee, and Expense Account. Certain Payee Names have been removed in order to protect the privacy of individuals, in accordance with Health Insurance Portability and Accountability Act (HIPAA) regulations or where it might be a violation of protected information, in the case of Department of Criminal Justice Investigations. These redacted names appear as ""REMOVED FOR PRIVACY."" This data is static and is not live-updated.",CT OSC - State Employee Payroll (2015),"['employee', 'salaries', 'salary', 'connecticut', 'payroll']",Dataset,9537.0,0.1296510284261613
